col_name,val_mean_rmse,val_var_rmse,rmse_delta
trafficSource_adwordsClickInfo.page,2.209365433603814,0.039693199758471596,0.0
trafficSource_source,2.17211824597095,0.03847700850456411,0.037247187632864165
trafficSource_keyword,2.172409953142708,0.03842693246053507,-0.0002917071717578601
visitNumber,2.165734696761937,0.03860276750151977,0.006383549209012962
geoNetwork_city,2.1557636777952798,0.03859729692673995,0.009971018966657308
trafficSource_adwordsClickInfo.adNetworkType,2.1557636777952798,0.03859729692673995,0.0
geoNetwork_region,2.154754296239871,0.038691802154956045,0.0010093815554088614
trafficSource_adwordsClickInfo.gclId,2.1550408619542387,0.03867689947918166,-0.00028656571436780354
geoNetwork_country,2.1482131739912895,0.03717179495700562,0.006541122248581388
totals_pageviews,1.9283392834707194,0.02636335357381402,0.21987389052057016
trafficSource_medium,1.926922724128047,0.027297959178937563,0.0014165593426722634
totals_hits,1.8889501217303066,0.02248865217894742,0.037972602397740474
trafficSource_adwordsClickInfo.isVideoAd,1.8889501217303064,0.022488652178947445,2.220446049250313e-16
trafficSource_isTrueDirect,1.8917318617988745,0.024029400335281767,-0.002781740068568128
trafficSource_adContent,1.8922125365646765,0.023999018201545826,-0.0032624148343700643
device_isMobile,1.885077320334915,0.02281096303247096,0.0038728013953914786
geoNetwork_continent,1.8846227854968665,0.02285693516729412,0.0004545348380484704
totals_newVisits,1.8846227854968665,0.02285693516729412,0.0
geoNetwork_metro,1.8802800815844478,0.022133370831695847,0.004342703912418644
geoNetwork_networkDomain,1.8845086435893266,0.023417609249601616,-0.004228562004878755
trafficSource_referralPath,1.8842561626928482,0.022896735473354152,-0.00397608110840042
device_browser,1.8781410731044759,0.023784201641675454,0.002139008479971949
trafficSource_campaign,1.8780123398915616,0.02375200399123046,0.0001287332129142893
geoNetwork_subContinent,1.8784204857459035,0.02376762384355141,-0.0004081458543419014
totals_bounces,1.8784204857459035,0.02376762384355141,-0.0004081458543419014
device_deviceCategory,1.8784206773416858,0.023767650794069232,-0.00040833745012425204
device_operatingSystem,1.8825777613438164,0.023374206264416237,-0.004565421452254803
channelGrouping,1.8823615792330652,0.022515405102482976,-0.004349239341503663
trafficSource_adwordsClickInfo.slot,1.8823615792330652,0.022515405102482962,-0.004349239341503663
device_operatingSystem,2.2012352100411343,0.03926623748419927,0.0
geoNetwork_subContinent,2.181401371980834,0.03879032078031798,0.01983383806030048
device_isMobile,2.1813961625470717,0.03880242977578087,5.209433762143334e-06
trafficSource_adwordsClickInfo.adNetworkType,2.18125512299994,0.0388625338667589,0.00014103954713151623
geoNetwork_continent,2.1812808329111233,0.03886346556139915,-2.570991118311383e-05
