col_name,val_rmse_0,val_rmse_1,val_rmse_2,val_rmse_3,val_rmse_4,val_rsq_0,val_rsq_1,val_rsq_2,val_rsq_3,val_rsq_4,val_mean_rmse,val_mean_rsq,val_var_rmse,val_var_rsq,rmse_delta
device_deviceCategory,2.3031455743024467,2.3698651792159517,2.42721927274286,1.961985840493694,1.977304308398535,-0.0026971827667565673,0.0003849629612823202,0.0007442199594052124,-0.0004218429866025275,0.0004878396701197829,2.2079040350306975,-0.00030040063251035587,0.03941070576971173,1.5883182111700336e-06,0.0
geoNetwork_networkDomain,2.298816378686473,2.372487870793083,2.412024567794139,1.9790827605585886,1.9716054779110368,0.0010687906505960632,-0.0018287769996083725,0.013215999421098077,-0.017933341179179108,0.006240967293667743,2.2068034111486643,0.0001527278373148807,0.037041642400420426,0.00010791742982311603,0.001100623882033247
visitStartTimeMinute,2.3549905293902023,2.4322311689595724,2.4951388132430763,2.0558007872873545,2.035579071869499,-0.04834769897206859,-0.05291957572209016,-0.05596146339829455,-0.09838219418946381,-0.05929521681260552,2.274748074149941,-0.06298122981890453,0.036990316145626576,0.0003262938398114754,-0.06794466300127677
geoNetwork_city,2.4274515777152703,2.5122071913372097,2.5749857600977304,2.087117622411016,2.1159206623302573,-0.11385373967552215,-0.12330168346477866,-0.12462648956584932,-0.13210127088478663,-0.14456329921866762,2.3435365627782967,-0.12768929656192088,0.04132398254519844,0.00010485041056553937,-0.1367331516296324
trafficSource_adwordsClickInfo.isVideoAd,2.442852056090472,2.5020754437942867,2.564504764662362,2.0966323562410523,2.117169180353049,-0.12803181454330992,-0.11425938849032603,-0.1154899603587858,-0.14244682590300117,-0.14591441746448353,2.344646760228245,-0.12922848135198128,0.03920456131789507,0.0001734795616504581,-0.1378433490795805
trafficSource_campaign,2.4335432939349197,2.4946829658165037,2.5600434467464837,2.106218779970577,2.1142899092772685,-0.11945121055641117,-0.10768487089046408,-0.11161223183707403,-0.15291791986907288,-0.1427997351435002,2.3417556791491507,-0.12689319365930446,0.037335915611238474,0.0003176310013180025,-0.13495226800048643
totals_bounces,2.4322627790229934,2.5144653979083547,2.521255824434917,2.1162024482586537,2.125548202457704,-0.1182734243798116,-0.1253220481381354,-0.0781829861157528,-0.16387369543939045,-0.15500263045185503,2.341946930416525,-0.12813095690498905,0.03357204685925122,0.0009198981798111512,-0.1351435192678605
trafficSource_medium,2.429061024432644,2.5165178631641933,2.5155025847670185,2.147045495224177,2.1363718308929442,-0.11533124188786315,-0.12715991559290418,-0.07326800072013362,-0.1980471823311445,-0.16679549278187245,2.3488997596961956,-0.13612036666278357,0.029638284580574804,0.0018477582316233712,-0.14209634854753128
visitStartTimeDayofweek,2.4345117998458825,2.540301006339608,2.5585518590345573,2.146764631860835,2.209768831408378,-0.12034243025413804,-0.14856574938858724,-0.11031726622379434,-0.19773376041884894,-0.24834533914117896,2.377979625697852,-0.16506090908530952,0.02878113869402043,0.0026545021160276003,-0.17117621454918774
geoNetwork_continent,2.425196884138032,2.53868140585877,2.5652067403050114,2.151473441318355,2.209534399819997,-0.1117855356687867,-0.14710165152545707,-0.11610072463836696,-0.20299384844083446,-0.24808048242582914,2.378018574288033,-0.16521244853985487,0.028557472436770807,0.0027777885261220255,-0.1712151631393688
visitStartTimeHour,2.384603668199376,2.457620852927054,2.507537148359434,2.091738308143063,2.1221209129625875,-0.07487863777568671,-0.07501684013954901,-0.06648167291921836,-0.13711955514639818,-0.15128092048519726,2.312724178118303,-0.1009555252932099,0.0298556320511707,0.0012763496808116128,-0.1059207669696387
visitStartTimeElapsed,2.506592130725625,2.8386089954890013,4.230670123024574,2.3622125474740407,2.342096027602664,-0.18766609937104284,-0.43415684548883804,-2.0358266727179015,-0.45020491256956796,-0.4023307326619341,2.856035964863181,-0.7020370525618569,0.5040059175871276,0.4537150677169932,-0.6492325537145165
visitStartTimeIs_quarter_start,2.477324489524465,2.8778789734958865,4.997311764391391,2.3064057181500455,2.214562053965287,-0.1600930050314333,-0.47411224271452285,-3.235761845597899,-0.3824926787411338,-0.2537667990522716,2.974696599905415,-0.901245314227452,1.074428400629196,1.3740099131772041,-0.7678931887567506
visitStartTimeWeek,2.4918786958714185,3.1921695377947956,4.755563555481128,2.421412478408223,2.2284266255377134,-0.17376406849298642,-0.8136663635741384,-2.8358589187550183,-0.5238035471366462,-0.26951470156519175,3.017890178618656,-0.9233215199047962,0.8611216976329867,0.9637475789099541,-0.8110867674699915
geoNetwork_subContinent,2.4797090763064826,3.0508122725292566,4.54942482893187,2.450286629542488,2.230175953566336,-0.16232741061709066,-0.6565954734206916,-2.5105214604318316,-0.5603614361674034,-0.271508636922412,2.9520817521752867,-0.8322628835118859,0.7114669785164598,0.7369200299904869,-0.7452783410266224
trafficSource_adwordsClickInfo.slot,2.567973340751194,3.1504998665153763,5.083118407657607,2.2709623013644347,2.285381903771777,-0.24654522094073195,-0.7666252438511151,-3.3824714762402546,-0.34032857816352236,-0.33523782088767407,3.0715871640120778,-1.0142416680166595,1.113046184735405,1.434877846003933,-0.8647837528634135
geoNetwork_metro,2.524833000749509,2.935363394057038,4.441497929547095,2.234477513809222,2.212518275920783,-0.20501466525980597,-0.5335899321588828,-2.3459355658306946,-0.2976076733518518,-0.2514537108758279,2.869738022816729,-0.7267203094954127,0.6858378156034233,0.6682700324975757,-0.6629346116680646
